ts,open,high,low,close,volume,trades,longOpenInterest,shortOpenInterest,profit,loss,profitCumulative,lossCumulative
2021-11-08,63319.6,67777.7,63319.6,67559.8,3863.0958402102,46043,46968872901575582226218605899780480000,3848869153029784322774325010208620000,847331617677933969113238409167717807,184457681129261392589663925463628984,10810315802951764313644915288105773975,7934921734073253752717375595217228335
2021-11-09,67550.8,68495.0,66316.0,66950.0,3128.97221828,36642,46507579815015416654714514873527700000,13020728290769667837017327436545650000,272718168342636695964573859791317637,15273503540802699057224183540871759,11083033971294401009609489147897091612,7950195237614056451774599778758100094
2021-11-10,66950.1,68991.0,62700.1,64969.0,6353.7205970706,61082,50231987248704798140257874049205900000,904219852791022617169629049680200000,459510254046897700929194753273379134,453071183912098472891825269599313160,11542544225341298710538683901170470746,8403266421526154924666425048357413254
2021-11-11,64969.0,65611.8,64108.2,64825.4,1606.7917784199,24439,52316272055589943867829109597205900000,1364675157114606912818036804000000000,119918154319042186591675214556562695,195442521542075073179621378113726030,11662462379660340897130359115727033441,8598708943068229997846046426471139284
2021-11-12,64825.1,65483.2,62300.5,64153.0,3153.2953957202,35616,66969813215330765140860394028105900000,966798429481566570105008213332790000,499102677953374018709026724181965988,427763338011902040633866836168053031,12161565057613714915839385839908999429,9026472281080132038479913262639192315
2021-11-13,64151.3,64982.5,63415.0,64393.1,1391.47442027,18319,56328568032419576751590146922105900000,1603303534545424311024242172948720000,188162848191415220731570919471778447,5799401087600968540146687396229513,12349727905805130136570956759380777876,9032271682167733007020059950035421828
2021-11-14,64394.5,65495.0,63636.0,65495.0,1479.87272892,20821,51377442123310902422067335033117660000,1441484126368464038763088543000000000,171362603574624782675442618699215538,216193598453604435929496903317192560,12521090509379754919246399378079993414,9248465280621337442949556853352614388
2021-11-15,65495.0,66349.6,63423.1,63615.8,2184.39391802,30333,53438424064591719521347767752690420000,1475537420134910792343162272864520000,349555366480298753635614514913819375,413743439332641049946253022301324226,12870645875860053672882013892993812789,9662208719953978492895809875653938614
2021-11-16,63615.8,63615.8,58630.0,60137.2,5540.5239841204,58354,40271960790765469162396533448892550000,1022291996178536121248540060000000000,264947047192164385171711561197090315,2633486212358656719415841250822623117,13135592923052218058053725454190903104,12295694932312635212311651126476561731
2021-11-17,60137.2,60847.0,58400.0,60367.8,3122.3347099801,32352,43885923509771482034289305848892550000,1207389742870871866598713414000000000,65787349150450629185971804617598025,275172237832909865689026225432610539,13201380272202668687239697258808501129,12570867170145545078000677351909172270
2021-11-18,60368.6,60964.4,56526.2,56921.7,4581.7945896602,48290,30851300891095464166898854219584910000,1393609027801386827798042920000000000,116282480454348448093386717219780066,1033551413941583994380050993835743479,13317662752657017135333083976028281195,13604418584087129072380728345744915749
2021-11-19,56910.8,58384.5,55674.0,58099.6,2241.91928531,33346,32880884867983401099859086311584910000,1091654819352171122478261463000000000,151090182116298056690277301688773047,76101919734684870267734465685097375,13468752934773315192023361277717054242,13680520503821813942648462811430013124
2021-11-20,58107.2,59879.0,57435.2,59744.2,1745.52134658,23413,31538512849603577456695018220609220000,2080580014489173497599461291000000000,337379334154664322599811919003266255,40691464875231180355333408941070631,13806132268927979514623173196720320497,13721211968697045123003796220371083755
2021-11-21,59744.2,60050.0,58532.8,58646.2,1374.08430752,21166,31544405777068802926395872842631180000,2963646065220635949113544874000000000,213004576177454797050201040848426355,11146584676806825272851011049390451,14019136845105434311673374237568746852,13732358553373851948276647231420474206
2021-11-22,58660.3,59411.8,55633.6,56295.5,3918.6575036402,38762,35851650460220954553005689373765730000,841408079228296144089306545861830000,126138101421941835836617861990781469,385944926131423784915550812500419961,14145274946527376147509992099559528321,14118303479505275733192198043920894167
2021-11-23,56290.2,57850.0,55362.7,57571.4,3805.1937175401,35787,28179149750966979943066520947262900000,1825720925585309061618123751000000000,313584836424852405481017760854652638,83197494317014229514632430850671550,14458859782952228552991009860414180959,14201500973822289962706830474771565717
2021-11-24,57574.0,57738.9,55909.0,57203.3,2504.62452366,31075,37154368053962079814169026604387160000,3231256762704221897574364697680720000,111078637613242758288107278851216755,220595020295657776524519353357177944,14569938420565471311279117139265397714,14422095994117947739231349828128743661
2021-11-25,57170.4,59400.0,57053.0,58932.6,2779.6893139101,30817,28059371172205832535696447234184450000,4077090144348271631204455745400000000,611871186093129448906996421100082884,125610879230165160404821485054190750,15181809606658600760186113560365480598,14547706873348112899636171313182934411
2021-11-26,58955.3,59193.8,53571.0,53789.0,6087.3482540803,54924,45376938705927290280298073887999570000,1545804717308728036484375495000000000,451063553616457476912222464513113794,828361160114621369564907653924005766,15632873160275058237098336024878594392,15376068033462734269201078967106940177
2021-11-27,53776.5,55314.1,53658.6,54784.9,2957.2345886503,25472,39403820373291908404196099674351820000,5687493022100838553247249235000000000,209196575551626005340325074489604876,36172458518287756680206091166153982,15842069735826684242438661099368199268,15412240491981022025881285058273094159
2021-11-28,54757.5,57485.7,53300.0,57300.0,2157.9423934999,29933,37384440161025553983309624419983950000,12646331314558699453287233591000000000,183528277633565229132063839213427598,297672840822534399725400981723321998,16025598013460249471570724938581626866,15709913332803556425606686039996416157
2021-11-29,57300.0,58890.0,56755.1,57830.2,2979.13113578,38569,26514964348444214259798611356408550000,11110672551407908572256544515000000000,1266143570384873723606499855104366295,292689599093922207097859072847126678,17291741583845123195177224793685993161,16002602931897478632704545112843542835
2021-11-30,57830.2,59230.0,55932.6,56980.7,3880.8822989403,46528,27454093909702091593581736417299570000,8395201978577439933701808020000000000,735184598069946677115234638821491461,272498118475887520254546113513312787,18026926181915069872292459432507484622,16275101050373366152959091226356855622
2021-12-01,57007.4,59090.7,56520.0,57237.9,4211.5550330901,41458,42853273274113852068424896051255010000,9498419359113020220693177689000000000,393580380924816196729196306074543159,207604308522349355701939976353118231,18420506562839886069021655738582027781,16482705358895715508661031202709973853
2021-12-02,57237.2,57410.2,55848.2,56526.4,3226.8348339101,33357,50296791536219779533152926533255010000,2144195134028560441183711110000000000,442075918621254145454715126085474083,471999460200505988336460583106985485,18862582481461140214476370864667501864,16954704819096221496997491785816959338
2021-12-03,56528.2,57688.9,51752.6,53678.6,4366.2650863803,42103,59360801592531898182104767222255010000,1105208115020967796206305137200000000,344782223282940030179090293973016408,1959205205912305785787784202140341947,19207364704744080244655461158640518272,18913910025008527282785275987957301285
